Pass1,Pass2,Pass3,Pass4,Pass5,Pass6,Pass7,Pass8,Pass9,Pass10
11,24,2,20,10,11,13,11,16,71
10,11,13,11,20,12,13,20,77,71
16,8,16,17,21,22,3,20,10,13
22,16,8,16,2,17,23,8,82,4
20,12,16,8,16,17,21,23,22,13
20,11,22,17,21,8,77,13,91,10
16,17,21,22,21,93,91,11,3,10
20,11,22,78,2,77,8,17,23,71
24,11,3,20,12,93,91,10,8,13
11,22,78,2,77,20,12,93,4,13
22,16,2,17,23,8,78,2,12,10
22,21,93,91,11,12,93,91,13,9
21,8,77,13,91,10,20,93,77,16
8,16,17,21,22,24,11,3,10,77
16,11,12,93,91,93,77,16,13,9
1,9,20,24,9,10,93,77,22,10
8,22,16,2,17,23,11,22,10,77
2,77,20,12,3,20,12,10,12,93
17,23,8,93,20,13,11,23,77,2
12,3,20,12,22,78,2,10,9,77
1,2,1,9,20,24,9,10,20,10
24,11,3,20,12,13,20,13,11,10
24,11,20,11,22,78,2,77,8,13
22,16,8,16,17,21,22,21,93,23
22,8,22,16,2,17,23,8,93,91
21,22,24,11,3,8,10,23,91,21
93,91,93,77,16,2,77,20,12,13
24,9,10,93,77,17,23,8,93,13
2,17,23,11,22,12,3,20,12,16
12,3,20,12,10,16,8,16,17,20
11,22,12,3,20,20,12,10,16,13
77,16,2,77,20,12,12,10,16,21
93,77,17,23,8,93,12,16,3,10
2,77,20,12,12,10,16,10,3,20
20,11,22,78,11,22,12,8,13,10
9,10,93,77,17,20,13,11,91,10
17,23,8,93,10,23,91,10,93,13
20,12,13,20,13,11,22,21,93,23
11,22,78,2,77,8,23,11,91,21
16,17,21,22,21,93,20,12,10,77
16,2,17,23,8,93,12,3,91,10
11,3,8,10,23,91,2,77,13,2
77,16,2,77,20,12,17,23,11,10
93,77,17,23,8,93,16,8,10,9
11,22,12,3,20,12,20,12,22,10
17,20,13,11,8,93,12,77,13,10
22,12,8,13,20,12,93,12,91,24
78,11,22,12,8,13,10,16,24,10
17,23,8,93,16,20,22,12,91,10
3,20,2,14,32,91,10,91,9,20
91,23,2,20,2,91,23,91,20,9
2,32,9,2,14,2,14,22,21,9
14,32,3,23,14,23,22,23,20,9
14,32,9,10,11,91,11,10,11,9
3,10,3,91,23,91,23,91,9,20
32,78,2,9,10,13,22,11,22,9
30,23,7,32,3,10,74,10,74,23
32,3,10,2,9,30,2,23,10,74
3,23,32,9,22,1,9,3,7,74
11,30,12,2,16,2,30,11,2,13
30,2,27,14,13,16,10,5,9,30
21,27,74,14,16,30,2,74,21,9
23,21,23,20,9,27,9,30,27,74
9,21,30,74,9,16,9,12,20,74
10,2,30,23,12,9,12,9,23,9
30,74,13,30,12,13,12,23,2,13
10,11,13,2,32,2,30,74,10,9
13,11,74,27,11,74,27,30,27,9
21,27,13,21,8,21,8,11,12,20
12,32,3,12,93,12,14,9,74,20
23,2,32,2,74,93,23,32,9,93
9,3,32,23,12,74,93,74,12,74
23,74,22,2,14,16,74,2,9,23
16,2,22,2,16,74,21,20,9,20
13,74,2,13,2,14,16,13,21,9
4,74,23,22,23,13,22,74,20,9
3,11,7,11,7,12,23,2,9,21
2,9,12,9,13,12,9,13,11,21
25,13,74,23,14,23,25,13,37,37
23,74,37,23,32,32,23,2,7,74
10,21,8,93,21,93,21,74,21,5
93,37,3,37,30,21,32,27,37,93
32,21,27,21,14,37,21,23,30,25
3,21,7,11,16,7,21,3,11,23
3,7,12,13,11,13,11,13,25,7
13,2,7,13,12,2,11,7,21,7
21,3,27,3,27,3,30,13,37,27
74,7,74,25,21,7,74,25,23,25
2,14,25,37,93,25,37,21,23,25
74,25,12,2,30,23,12,21,93,21
25,30,23,3,74,23,2,16,23,93
78,93,2,74,2,93,30,25,23,25
30,32,3,37,23,13,23,2,21,37
13,30,23,3,27,3,30,13,74,37
2,7,93,12,93,2,74,7,30,37
37,74,2,12,93,2,37,3,30,37
11,12,11,12,2,30,74,30,21,27
19,10,93,10,4,19,10,66,21,19
53,77,10,66,10,55,66,55,11,10
30,22,23,22,74,23,12,23,13,7
25,27,74,93,27,11,93,74,27,25
27,7,27,7,25,12,27,13,21,7
13,11,23,2,23,12,11,13,21,25
